Citing_Patent,Year,Assignee,CPC_Groups
5210799,1993,TEXAS INSTRUMENTS INCORPORATED,G06T2207/10016; G06T2207/10032; G06T2207/10048; G06T2207/20016; G06T2207/30212; G06T7/12; G06T7/181; G06V10/255; G06V10/44; G06V10/443; G06V10/462
5311336,1994,Canon Kabushiki Kaisha,G06T11/001; H04N1/46; H04N1/62
5408541,1995,Lockheed Corporation,G01S17/89; G01S7/486; G06V10/10; G06V10/255
5600733,1997,"Kulicke & Soffa Investments, Inc.",G06T2207/30148; G06T7/74
5604822,1997,Lockheed Martin Corporation,G06T2207/10016; G06T2207/10048; G06T2207/30212; G06T7/12; G06T7/66
5719774,1998,TEXAS INSTRUMENTS INCORPORATED,G06F18/28
5825922,1998,Lockheed Martin Corporation,G06T2207/10016; G06T2207/10048; G06T2207/30212; G06T7/12; G06T7/66
5923781,1999,LUCENT TECHNOLOGIES INC.,G06T2207/10056; G06T2207/20168; G06T2207/30164; G06T7/12; G06T7/149; G06T7/75
6019496,2000,TEXAS INSTRUMENTS INCORPORATED,G06F18/28
6118886,2000,United States Department of Energy,G06F18/254; G06V10/255
6229918,2001,Microsoft Corporation,G06F18/23
6275773,2001,Individual/Unknown,B60T2201/022; B60T2201/08; B60T2201/082; B60T2201/083; B60T2201/085; B60T2201/087; G01S13/86; G01S13/931; G01S17/86; G01S17/931; G01S19/11; G01S2013/9316; G01S2013/9318; G01S2013/93185; G01S2013/9319; G01S2013/932; G01S2013/9321; G01S2013/9322; G01S2013/9325; G01S2013/9329; G01S5/009; G07C5/0891; G08G1/164; G08G1/20
6487500,2002,Individual/Unknown,B60T2201/022; B60T2201/08; B60T2201/082; B60T2201/083; B60T2201/085; B60T2201/087; G01S13/86; G01S13/931; G01S17/86; G01S17/931; G01S19/11; G01S2013/9316; G01S2013/9318; G01S2013/93185; G01S2013/9319; G01S2013/932; G01S2013/9321; G01S2013/9322; G01S2013/9325; G01S2013/9329; G01S5/009; G07C5/0891; G08G1/164; G08G1/20
6553130,2003,Individual/Unknown,B60T2201/022; B60T2201/024; B60T2201/08; B60T2201/082; B60T2201/083; B60T2201/085; B60T2201/087; G01S13/867; G01S13/931; G01S17/86; G01S17/931; G01S19/11; G01S2013/9316; G01S2013/9318; G01S2013/93185; G01S2013/9319; G01S2013/932; G01S2013/9321; G01S2013/9322; G01S2013/9323; G01S2013/9325; G01S5/009; G06V10/82; G06V20/58; G07C5/0891; G08G1/164; G08G1/165; G08G1/166
6906639,2005,Individual/Unknown,B60T2201/022; B60T2201/024; B60T2201/08; B60T2201/082; B60T2201/083; B60T2201/085; B60T2201/087; G01S13/867; G01S13/931; G01S17/86; G01S17/931; G01S19/11; G01S2013/9316; G01S2013/9318; G01S2013/93185; G01S2013/9319; G01S2013/932; G01S2013/9321; G01S2013/9322; G01S2013/9323; G01S2013/9325; G01S5/009; G06V10/82; G06V20/58; G07C5/0891; G08G1/164; G08G1/165; G08G1/166
7006694,2006,"Coreco Imaging, Inc.",G06V10/46; G06V10/752
7283645,2007,Microsoft Corporation,G06F18/28; G06V10/757
7773811,2010,"D&S Consultants, Inc.",G06V10/255
7921120,2011,"D&S Consultants, Inc.",G06F16/583; G06V30/2504
7870140,2011,"D&S Consultants, Inc.",G06F16/583; Y10S707/915; Y10S707/99948
8063815,2011,Telefonaktiebolaget LM Ericsson (Publ),G01S13/9064; G01S7/412; G06V10/752; G06V20/647
