Source,Target,Type
10013507,4901362,Internal
10024968,4901362,Internal
10048763,4901362,Internal
10049458,4901362,Internal
10085072,4901362,Internal
10085072,8667519,Internal
10089454,4901362,Internal
10000216,6275773,Diffusion
10000216,6487500,Diffusion
10002640,8587583,Diffusion
10003755,6553130,Diffusion
10004462,8320621,Diffusion
10004462,8351651,Diffusion
10005394,6553130,Diffusion
10007674,8418085,Diffusion
10007679,8745541,Diffusion
10013888,6275773,Diffusion
10015452,6553130,Diffusion
10015452,6906639,Diffusion
10018843,6487500,Diffusion
10018843,6553130,Diffusion
10019797,8487938,Diffusion
10021278,6553130,Diffusion
10021278,6906639,Diffusion
10023161,6553130,Diffusion
10024965,6553130,Diffusion
10025138,6487500,Diffusion
10025138,6553130,Diffusion
10025975,8843857,Diffusion
10025994,6553130,Diffusion
10027930,6553130,Diffusion
10029616,6487500,Diffusion
10031586,9244533,Diffusion
10042510,8631355,Diffusion
10042510,8659658,Diffusion
10042510,8843857,Diffusion
10043082,6553130,Diffusion
10043279,8320621,Diffusion
10043386,6275773,Diffusion
10043391,6487500,Diffusion
10045144,8587583,Diffusion
10046702,6553130,Diffusion
10048749,8745541,Diffusion
10048765,8351651,Diffusion
10049298,6487500,Diffusion
10051411,6553130,Diffusion
10053012,6553130,Diffusion
10053013,6487500,Diffusion
10055186,8843857,Diffusion
10055651,6553130,Diffusion
10055888,8587583,Diffusion
10057078,8659658,Diffusion
10057489,6553130,Diffusion
10059335,6275773,Diffusion
10059335,6487500,Diffusion
10061392,8745541,Diffusion
10061392,8856691,Diffusion
10062201,8670029,Diffusion
10067571,8745541,Diffusion
10067571,8856691,Diffusion
10071676,6553130,Diffusion
10071676,6906639,Diffusion
10071687,6553130,Diffusion
10071689,6487500,Diffusion
10071689,6553130,Diffusion
10076706,8418085,Diffusion
10078789,6553130,Diffusion
10082789,6275773,Diffusion
10082789,6487500,Diffusion
10086747,6553130,Diffusion
10086870,6553130,Diffusion
10088675,8670029,Diffusion
10089537,6553130,Diffusion
10089540,6553130,Diffusion
10089540,6906639,Diffusion
10089541,6553130,Diffusion
10091015,8587583,Diffusion
10093324,6275773,Diffusion
10093324,6487500,Diffusion
10094673,6553130,Diffusion
10095930,8320621,Diffusion
10097741,8320621,Diffusion
10097754,8631355,Diffusion
10097754,8659658,Diffusion
10097754,8843857,Diffusion
10099610,6553130,Diffusion
10099610,6906639,Diffusion
10099614,6553130,Diffusion
10102229,8418085,Diffusion
10104298,6553130,Diffusion
10106155,6553130,Diffusion
10113868,4901362,Internal
10113868,8891067,Internal
10205931,4901362,Internal
10210382,4901362,Internal
10210382,9247238,Internal
10210382,9940553,Internal
10107630,6487500,Diffusion
10107905,6553130,Diffusion
10108010,8670029,Diffusion
10110795,6487500,Diffusion
10110860,6553130,Diffusion
10110860,6906639,Diffusion
10112528,6553130,Diffusion
10112540,6487500,Diffusion
10112540,6553130,Diffusion
10115310,6553130,Diffusion
10118618,6553130,Diffusion
10118618,6906639,Diffusion
10120379,6275773,Diffusion
10120379,6487500,Diffusion
10120857,8418085,Diffusion
10121039,8320621,Diffusion
10126552,8670029,Diffusion
10127738,6553130,Diffusion
10129518,6553130,Diffusion
10130881,8418085,Diffusion
10131279,6487500,Diffusion
10131279,6553130,Diffusion
10131280,6487500,Diffusion
10132971,6553130,Diffusion
10134120,8320621,Diffusion
10137892,6553130,Diffusion
10139829,6275773,Diffusion
10139829,6487500,Diffusion
10140724,8320621,Diffusion
10144352,6553130,Diffusion
10144353,6553130,Diffusion
10144355,6487500,Diffusion
10144419,6553130,Diffusion
10150417,6487500,Diffusion
10151838,8670029,Diffusion
10152858,6275773,Diffusion
10152859,6275773,Diffusion
10156681,8670029,Diffusion
10160382,6553130,Diffusion
10160437,6553130,Diffusion
10163216,8320621,Diffusion
10163222,8418085,Diffusion
10163263,8587583,Diffusion
10165171,6275773,Diffusion
10166927,6487500,Diffusion
10168418,6487500,Diffusion
10168710,6275773,Diffusion
10168710,6487500,Diffusion
10169821,6275773,Diffusion
10169821,6487500,Diffusion
10169822,6275773,Diffusion
10169999,6487500,Diffusion
10171709,6553130,Diffusion
10173133,8418085,Diffusion
10175477,6487500,Diffusion
10179543,6553130,Diffusion
10179545,6487500,Diffusion
10179545,6553130,Diffusion
10180469,8745541,Diffusion
10183541,8320621,Diffusion
10186083,8587583,Diffusion
10187590,6553130,Diffusion
10187615,6553130,Diffusion
10187615,6906639,Diffusion
10191926,8418085,Diffusion
10195995,6487500,Diffusion
10195995,6553130,Diffusion
10202077,6553130,Diffusion
10202147,6553130,Diffusion
10203402,8320621,Diffusion
10205910,8587583,Diffusion
10207705,6553130,Diffusion
10234545,4901362,Internal
10234545,8888331,Internal
10257932,4901362,Internal
10257932,8888331,Internal
10296587,4901362,Internal
10296587,9298287,Internal
10214206,6553130,Diffusion
10218964,8320621,Diffusion
10220303,8745541,Diffusion
10222224,6553130,Diffusion
10222529,6553130,Diffusion
10223418,8745541,Diffusion
10223744,6275773,Diffusion
10225544,8320621,Diffusion
10228452,8320621,Diffusion
10229313,8351651,Diffusion
10232797,6553130,Diffusion
10235412,8745541,Diffusion
10235412,8856691,Diffusion
10235775,6553130,Diffusion
10239457,6487500,Diffusion
10240914,8320621,Diffusion
10240935,6553130,Diffusion
10241244,8320621,Diffusion
10241244,8670029,Diffusion
10241330,8670029,Diffusion
10241638,8659658,Diffusion
10241639,8631355,Diffusion
10241639,8659658,Diffusion
10241639,8843857,Diffusion
10244224,8659658,Diffusion
10247547,8320621,Diffusion
10247943,8670029,Diffusion
10249030,8320621,Diffusion
10250975,8385557,Diffusion
10255489,8745541,Diffusion
10255489,8856691,Diffusion
10255824,6275773,Diffusion
10257432,6553130,Diffusion
10257455,8320621,Diffusion
10264249,6553130,Diffusion
10266115,6553130,Diffusion
10269243,6487500,Diffusion
10270983,8295546,Diffusion
10272839,6487500,Diffusion
10284764,6553130,Diffusion
10284818,6553130,Diffusion
10286855,6553130,Diffusion
10288724,6553130,Diffusion
10291894,8295546,Diffusion
10291894,8487938,Diffusion
10293259,8587583,Diffusion
10293714,6553130,Diffusion
10293838,6275773,Diffusion
10293838,6487500,Diffusion
10295824,8670029,Diffusion
10296099,8745541,Diffusion
10296099,8856691,Diffusion
10297256,8385557,Diffusion
10300855,6553130,Diffusion
10300856,6553130,Diffusion
10300926,6275773,Diffusion
10300926,6487500,Diffusion
10304203,8587583,Diffusion
10306190,6553130,Diffusion
10306190,6906639,Diffusion
10308180,6553130,Diffusion
10308186,6487500,Diffusion
10311378,8670029,Diffusion
10325628,4901362,Internal
10331222,4901362,Internal
10331222,8418085,Internal
10331222,8620113,Internal
10331222,8635637,Internal
10331222,8660303,Internal
10331222,8760395,Internal
10331222,8898687,Internal
10331222,8959541,Internal
10331222,9100685,Internal
10331222,9372544,Internal
10331228,4901362,Internal
10331228,8456419,Internal
10331228,8707216,Internal
10331228,8745541,Internal
10331228,9454244,Internal
10331228,9652042,Internal
10398972,4901362,Internal
10412280,4901362,Internal
10313812,8385557,Diffusion
10318117,8418085,Diffusion
10321064,6553130,Diffusion
10321127,8320621,Diffusion
10324536,8418085,Diffusion
10325172,8659658,Diffusion
10325360,8659658,Diffusion
10325416,8295546,Diffusion
10325417,8295546,Diffusion
10326969,6553130,Diffusion
10327708,8320621,Diffusion
10327708,8351651,Diffusion
10328932,6553130,Diffusion
10331222,8418085,Diffusion
10331228,8745541,Diffusion
10332537,8385557,Diffusion
10334230,8745541,Diffusion
10334331,6487500,Diffusion
10336252,6906639,Diffusion
10336255,6553130,Diffusion
10338196,6487500,Diffusion
10338693,8745541,Diffusion
10338693,8856691,Diffusion
10339352,8320621,Diffusion
10339654,8320621,Diffusion
10339654,8351651,Diffusion
10341568,8587583,Diffusion
10343608,6487500,Diffusion
10343608,6553130,Diffusion
10350494,8418085,Diffusion
10351135,6553130,Diffusion
10351135,6906639,Diffusion
10353215,8320621,Diffusion
10353483,8745541,Diffusion
10353483,8856691,Diffusion
10354658,8385557,Diffusion
10357714,8745541,Diffusion
10358057,6553130,Diffusion
10359273,8320621,Diffusion
10359641,8670029,Diffusion
10359736,8670029,Diffusion
10360718,8587583,Diffusion
10362219,8295546,Diffusion
10362944,8351651,Diffusion
10363875,6487500,Diffusion
10365889,8385557,Diffusion
10366278,8320621,Diffusion
10366308,8631355,Diffusion
10366308,8659658,Diffusion
10366308,8843857,Diffusion
10366534,8587583,Diffusion
10367948,8385557,Diffusion
10370102,6275773,Diffusion
10373366,8587583,Diffusion
10375313,8295546,Diffusion
10386486,8320621,Diffusion
10386486,8670029,Diffusion
10388026,8320621,Diffusion
10393508,8320621,Diffusion
10397451,6553130,Diffusion
10397451,6906639,Diffusion
10401620,8670029,Diffusion
10402956,8320621,Diffusion
10402984,8745541,Diffusion
10405440,6275773,Diffusion
10406980,6553130,Diffusion
10406980,6906639,Diffusion
10407080,6553130,Diffusion
10409371,8351651,Diffusion
10409549,8385557,Diffusion
10410411,8631355,Diffusion
10410411,8659658,Diffusion
10410411,8843857,Diffusion
10410434,8295546,Diffusion
10462452,4901362,Internal
10462452,8408706,Internal
10462452,9442186,Internal
10488950,4901362,Internal
10488950,8456419,Internal
10488950,8707216,Internal
10488950,8745541,Internal
10488950,9652042,Internal
10417769,8320621,Diffusion
10421013,8745541,Diffusion
10422649,6487500,Diffusion
10427679,6553130,Diffusion
10431104,6275773,Diffusion
10434944,6553130,Diffusion
10438349,8320621,Diffusion
10438349,8351651,Diffusion
10444021,8587583,Diffusion
10444357,6553130,Diffusion
10444752,6487500,Diffusion
10444854,8351651,Diffusion
10445057,8385557,Diffusion
10445928,6553130,Diffusion
10446165,8385557,Diffusion
10449903,6487500,Diffusion
10452931,6553130,Diffusion
10453272,8320621,Diffusion
10457209,6553130,Diffusion
10457209,6906639,Diffusion
10460455,8351651,Diffusion
10462426,6553130,Diffusion
10462426,6906639,Diffusion
10466962,8385557,Diffusion
10467806,8320621,Diffusion
10474297,8320621,Diffusion
10481740,8320621,Diffusion
10482099,8418085,Diffusion
10486596,6553130,Diffusion
10486597,6553130,Diffusion
10488950,8745541,Diffusion
10489971,8587583,Diffusion
10489986,8351651,Diffusion
10493916,6553130,Diffusion
10493917,6553130,Diffusion
10496168,8351651,Diffusion
10497262,6553130,Diffusion
10499146,8385557,Diffusion
10500489,8418085,Diffusion
10503399,8418085,Diffusion
10504286,8351651,Diffusion
10507829,6275773,Diffusion
10507829,6487500,Diffusion
10509147,8320621,Diffusion
10509241,8670029,Diffusion
10509626,8385557,Diffusion
10509972,6553130,Diffusion
10511904,8385557,Diffusion
10534438,4901362,Internal
10534438,8296151,Internal
10551930,4901362,Internal
10551930,8295546,Internal
10551930,8428340,Internal
10551930,8456419,Internal
10551930,8707216,Internal
10551930,8745541,Internal
10551930,8811938,Internal
10551930,9596643,Internal
10585957,4901362,Internal
10585957,9298287,Internal
10515279,6553130,Diffusion
10516708,8745541,Diffusion
10521021,8745541,Diffusion
10521021,8856691,Diffusion
10522167,8385557,Diffusion
10523879,8295546,Diffusion
10523904,6553130,Diffusion
10525338,8418085,Diffusion
10527797,8670029,Diffusion
10528122,8659658,Diffusion
10528243,8295546,Diffusion
10529302,8745541,Diffusion
10529302,8856691,Diffusion
10536618,8670029,Diffusion
10538202,6487500,Diffusion
10542244,6553130,Diffusion
10545346,8670029,Diffusion
10551930,8295546,Diffusion
10551930,8745541,Diffusion
10553115,6487500,Diffusion
10555077,8385557,Diffusion
10556542,6553130,Diffusion
10560610,6553130,Diffusion
10564072,6487500,Diffusion
10564419,9244533,Diffusion
10564731,8745541,Diffusion
10564799,8631355,Diffusion
10564799,8659658,Diffusion
10564799,8843857,Diffusion
10565030,8745541,Diffusion
10565030,8856691,Diffusion
10565784,8631355,Diffusion
10565784,8659658,Diffusion
10565784,8843857,Diffusion
10565998,8385557,Diffusion
10565999,8385557,Diffusion
10567633,6553130,Diffusion
10567705,6553130,Diffusion
10567748,6553130,Diffusion
10569804,6553130,Diffusion
10572529,8418085,Diffusion
10573093,6553130,Diffusion
10573321,8385557,Diffusion
10574885,6553130,Diffusion
10576977,6906639,Diffusion
10580221,8295546,Diffusion
10583782,6487500,Diffusion
10584962,8320621,Diffusion
10585193,8631355,Diffusion
10585193,8659658,Diffusion
10585193,8843857,Diffusion
10586119,6553130,Diffusion
10586540,8385557,Diffusion
10587430,8385557,Diffusion
10589678,6553130,Diffusion
10592001,8351651,Diffusion
10592211,8659658,Diffusion
10592735,8418085,Diffusion
10593007,8745541,Diffusion
10593130,8320621,Diffusion
10593331,8385557,Diffusion
10594917,8587583,Diffusion
10598932,8670029,Diffusion
10601998,8385557,Diffusion
10602053,8295546,Diffusion
10602268,8385557,Diffusion
10603569,8418085,Diffusion
10606555,8385557,Diffusion
10607094,6553130,Diffusion
10609285,8631355,Diffusion
10609285,8659658,Diffusion
10609285,8843857,Diffusion
10609335,6553130,Diffusion
10611306,6553130,Diffusion
10612958,8320621,Diffusion
