ID,Layer,Weight
4901362,Core,0
8340432,Citing_L2,17
9123316,Citing_L2,6
8933884,Citing_L2,4
8649554,Citing_L2,8
8811938,Citing_L2,7
8390680,Citing_L2,16
9278287,Citing_L2,1
8633890,Citing_L2,8
8063815,Citing_L2,56
8487938,Awakener,180
9098493,Citing_L2,8
9489053,Citing_L2,6
8498481,Citing_L2,18
8611607,Citing_L2,1
8843857,Awakener,84
8891067,Citing_L2,2
8655069,Citing_L2,21
8374423,Citing_L2,12
9171264,Citing_L2,5
9607213,Citing_L2,0
9298263,Citing_L2,64
9720089,Citing_L2,3
9953213,Citing_L2,0
9641825,Citing_L2,1
10049458,Citing_L2,0
8970487,Citing_L2,5
6275773,Awakener,332
8983233,Citing_L2,10
9628844,Citing_L2,11
8610665,Citing_L2,14
9824480,Citing_L2,3
8542910,Citing_L2,28
8928579,Citing_L2,3
9569005,Citing_L2,13
8542252,Citing_L2,62
8526734,Citing_L2,4
8856691,Awakener,189
8448094,Citing_L2,5
10642934,Awakener,74
6229918,Citing_L2,19
9210401,Citing_L2,3
8867820,Citing_L2,20
8667519,Citing_L2,19
8788973,Citing_L2,32
8888331,Citing_L2,6
8284847,Citing_L2,56
8588517,Citing_L2,13
9100685,Citing_L2,24
8558873,Citing_L2,40
10534438,Citing_L2,3
8988432,Citing_L2,5
9659377,Citing_L2,2
8864581,Citing_L2,7
10412280,Citing_L2,1
9147253,Citing_L2,12
8988437,Citing_L2,4
8509545,Citing_L2,4
8625837,Citing_L2,1
8929612,Citing_L2,15
9400548,Citing_L2,8
9824260,Citing_L2,2
8781156,Citing_L2,1
9015638,Citing_L2,15
11215711,Citing_L2,3
9182814,Citing_L2,6
8523667,Citing_L2,38
10671841,Citing_L2,0
9195305,Citing_L2,15
8385557,Awakener,265
9208571,Citing_L2,6
8619122,Citing_L2,2
10331222,Citing_L2,2
10462452,Citing_L2,3
9529566,Citing_L2,0
8959541,Citing_L2,11
9470778,Citing_L2,0
8503494,Citing_L2,1
10398972,Citing_L2,2
8724906,Citing_L2,22
9910509,Citing_L2,29
10878009,Citing_L2,0
9098110,Citing_L2,1
9262673,Citing_L2,8
9092657,Citing_L2,4
9522328,Citing_L2,0
5825922,Citing_L2,41
9313376,Citing_L2,13
8882310,Citing_L2,2
7006694,Citing_L2,15
8456419,Citing_L2,26
11818458,Citing_L2,0
8401225,Citing_L2,58
8660303,Citing_L2,17
8762894,Citing_L2,0
9031103,Citing_L2,2
8751215,Citing_L2,23
9384329,Citing_L2,1
8630457,Citing_L2,1
9594430,Citing_L2,0
9054764,Citing_L2,7
8503766,Citing_L2,2
8782567,Citing_L2,5
5604822,Citing_L2,31
9372544,Citing_L2,6
9008355,Citing_L2,3
10631066,Citing_L2,3
9298287,Citing_L2,5
8891827,Citing_L2,1
8487871,Citing_L2,34
8634636,Citing_L2,0
9259643,Citing_L2,4
9383823,Citing_L2,46
9191570,Citing_L2,0
8401242,Citing_L2,41
10205931,Citing_L2,0
8592739,Citing_L2,2
6553130,Awakener,600
8942917,Citing_L2,41
10024968,Citing_L2,11
9001118,Citing_L2,60
9582717,Citing_L2,50
9274747,Citing_L2,16
9063001,Citing_L2,1
9141193,Citing_L2,8
8988508,Citing_L2,9
9264807,Citing_L2,2
9117281,Citing_L2,6
8553939,Citing_L2,16
8884968,Citing_L2,1
10325628,Citing_L2,0
8854426,Citing_L2,24
8213680,Citing_L2,33
8264536,Citing_L2,38
9137463,Citing_L2,21
11710309,Citing_L2,4
10796494,Citing_L2,1
8681321,Citing_L2,7
8879831,Citing_L2,3
8379101,Citing_L2,62
8452087,Citing_L2,12
10257932,Citing_L2,0
8514269,Citing_L2,6
8786730,Citing_L2,2
9596643,Citing_L2,10
9696427,Citing_L2,32
9349040,Citing_L2,5
8675981,Citing_L2,0
9508385,Citing_L2,1
8749557,Citing_L2,21
10210382,Citing_L2,18
8861839,Citing_L2,1
8687044,Citing_L2,3
9679390,Citing_L2,1
8897495,Citing_L2,1
8279418,Citing_L2,20
9821226,Citing_L2,1
12002252,Citing_L2,0
8803800,Citing_L2,2
9539500,Citing_L2,9
8416187,Citing_L2,7
9291449,Citing_L2,0
9519989,Citing_L2,6
8744121,Citing_L2,41
8953844,Citing_L2,3
9857470,Citing_L2,5
10691216,Citing_L2,8
8693724,Citing_L2,45
8588465,Citing_L2,5
8760395,Citing_L2,33
8408706,Citing_L2,29
8824749,Citing_L2,27
5408541,Citing_L2,48
9652042,Citing_L2,11
8760571,Citing_L2,1
9019201,Citing_L2,9
8497838,Citing_L2,7
9535563,Citing_L2,51
7283645,Citing_L2,7
8294767,Citing_L2,4
9256282,Citing_L2,22
8620113,Citing_L2,12
