target_patent_id,birth_year,awakening_year,substantive_gap,total_citations,B_index,research_label,citation_history
3936838,1976,2015.0,39.0,231,1700.4999999999998,泰坦型 (高影响力/突发性强),1977:2; 1978:3; 1981:2; 1987:1; 1989:1; 1995:1; 2014:1; 2015:3; 2016:12; 2017:57; 2018:87; 2019:40; 2020:18; 2021:3
4080600,1978,2016.0,38.0,222,1626.5,泰坦型 (高影响力/突发性强),1989:1; 1996:1; 2016:11; 2017:57; 2018:87; 2019:41; 2020:18; 2021:3; 2022:2; 2023:1
4123759,1978,1998.0,20.0,303,1568.0,泰坦型 (高影响力/突发性强),1982:1; 1983:1; 1985:2; 1986:2; 1987:2; 1989:1; 1990:2; 1991:3; 1993:1; 1995:5; 1996:2; 1998:4; 1999:4; 2000:5; 2001:5; 2002:1; 2003:1; 2004:3; 2005:5; 2006:3; 2007:7; 2008:5; 2009:3; 2010:4; 2011:3; 2013:1; 2014:1; 2015:2; 2016:12; 2017:57; 2018:88; 2019:42; 2020:18; 2021:4; 2022:1; 2023:1; 2024:1
6055062,2000,2020.0,20.0,769,1528.0,泰坦型 (高影响力/突发性强),2006:3; 2008:1; 2019:1; 2020:80; 2021:157; 2022:144; 2023:174; 2024:164; 2025:45
4995010,1991,2015.0,24.0,292,1392.0000000000005,泰坦型 (高影响力/突发性强),1996:1; 1998:1; 2000:1; 2003:2; 2005:1; 2006:1; 2009:1; 2010:1; 2011:1; 2015:4; 2016:3; 2017:21; 2018:110; 2019:60; 2020:11; 2021:13; 2022:16; 2023:17; 2024:16; 2025:11
5010341,1991,2021.0,30.0,205,1043.0,泰坦型 (高影响力/突发性强),1993:1; 1994:1; 1999:1; 2001:2; 2002:1; 2009:1; 2021:15; 2022:71; 2023:52; 2024:44; 2025:16
5198823,1993,2016.0,23.0,229,984.0,泰坦型 (高影响力/突发性强),1996:1; 2002:3; 2016:11; 2017:57; 2018:88; 2019:41; 2020:18; 2021:3; 2022:3; 2024:3; 2025:1
4958378,1990,2016.0,26.0,446,960.0,泰坦型 (高影响力/突发性强),1992:1; 1995:6; 1996:3; 1997:2; 1998:2; 2003:1; 2004:2; 2005:1; 2006:3; 2007:1; 2008:2; 2009:1; 2010:2; 2011:1; 2012:2; 2013:1; 2014:1; 2015:1; 2016:9; 2017:30; 2018:74; 2019:79; 2020:70; 2021:49; 2022:36; 2023:37; 2024:16; 2025:13
5329285,1994,2015.0,21.0,242,949.5,泰坦型 (高影响力/突发性强),1998:1; 2002:1; 2012:1; 2015:3; 2016:11; 2017:57; 2018:89; 2019:41; 2020:17; 2021:3; 2022:4; 2023:9; 2024:4; 2025:1
4048617,1977,2011.0,34.0,103,819.5000000000001,深海遗珠型 (极长沉睡/跨代突变),1981:2; 1982:1; 1983:1; 1989:1; 1990:1; 1994:1; 1995:1; 1996:1; 1997:1; 2002:1; 2011:3; 2012:4; 2013:1; 2014:31; 2015:47; 2016:3; 2017:3
5559756,1996,2024.0,28.0,66,804.0,深海遗珠型 (极长沉睡/跨代突变),2002:1; 2015:1; 2017:2; 2019:1; 2024:3; 2025:58
5982931,1999,2019.0,20.0,504,791.0,泰坦型 (高影响力/突发性强),2001:2; 2002:1; 2005:2; 2006:7; 2007:4; 2008:3; 2009:3; 2010:9; 2011:5; 2012:1; 2013:5; 2015:2; 2016:3; 2017:4; 2018:1; 2019:42; 2020:68; 2021:49; 2022:79; 2023:94; 2024:83; 2025:37
